
Data downloaded from OMNIWeb and processed by omniweb_read.py

No AlphaRatio was considered

#TIMEDELAY
0.0

#START
 2011 08 05 00 51 00 000    4.52    -5.76    -1.67  -407.70    -44.10    -80.90    5.04    223500.0
 2011 08 05 00 52 00 000    5.04    -5.44    -2.31  -407.70    -44.10    -80.90    5.04    223500.0
 2011 08 05 00 53 00 000    3.79    -6.59     1.74  -403.10    -41.30    -65.20    4.77    237236.0
 2011 08 05 00 54 00 000    3.23    -7.00     2.25  -404.60    -45.00    -64.10    4.73    231988.0
 2011 08 05 00 55 00 000    3.22    -6.90     1.74  -407.60    -52.40    -61.80    4.67    221372.0
 2011 08 05 00 56 00 000    2.73    -6.94     2.25  -408.40    -51.50    -58.80    4.55    212389.0
 2011 08 05 00 57 00 000    2.55    -6.98     2.00  -408.60    -51.80    -59.20    4.54    211761.0
 2011 08 05 00 58 00 000    2.70    -6.96     1.69  -411.70    -56.10    -64.70    4.42    203382.0
 2011 08 05 01 00 00 000    3.17    -7.13     0.28  -411.70    -56.10    -64.70    4.42    203382.0
 2011 08 05 01 01 00 000    3.24    -7.02    -0.13  -407.60    -56.80    -75.40    4.40    212461.0
 2011 08 05 01 02 00 000    3.20    -7.06     0.43  -407.60    -56.80    -75.40    4.40    212461.0
 2011 08 05 01 03 00 000    2.93    -7.06     0.86  -406.40    -58.70    -70.60    4.51    227623.0
 2011 08 05 01 04 00 000    2.87    -7.06     1.05  -406.10    -59.10    -69.50    4.53    231214.0
 2011 08 05 01 05 00 000    3.21    -6.84     0.33  -413.30    -54.00    -73.40    4.29    177773.0
 2011 08 05 01 06 00 000    3.62    -6.47    -0.34  -411.40    -50.30    -74.10    4.42    192295.0
 2011 08 05 01 07 00 000    3.47    -6.08    -0.24  -409.00    -51.50    -69.20    4.70    237753.0
 2011 08 05 01 08 00 000    2.91    -6.15    -0.17  -408.40    -55.10    -65.00    4.80    262659.0
 2011 08 05 01 09 00 000    2.82    -6.29     0.07  -413.40    -47.10    -64.10    4.60    239135.0
 2011 08 05 01 10 00 000    2.79    -6.33     0.08  -413.40    -47.10    -64.10    4.60    239135.0
 2011 08 05 01 11 00 000    2.83    -6.14     0.27  -413.40    -47.10    -64.10    4.60    239135.0
 2011 08 05 01 12 00 000    2.88    -6.00     0.06  -415.20    -43.80    -65.50    4.73    225268.0
 2011 08 05 01 13 00 000    3.13    -5.84    -0.33  -415.20    -43.80    -65.50    4.73    225268.0
 2011 08 05 01 14 00 000    2.81    -5.89     0.03  -410.80    -41.10    -66.00    5.01    234893.0
 2011 08 05 01 15 00 000    2.76    -5.78     0.04  -410.80    -40.80    -65.90    5.02    234323.0
 2011 08 05 01 16 00 000    2.59    -5.91    -0.10  -411.70    -34.30    -64.60    5.30    223132.0
 2011 08 05 01 17 00 000    2.43    -5.82     0.34  -411.70    -34.30    -64.60    5.30    223132.0
 2011 08 05 01 18 00 000    2.16    -5.86     0.55  -411.70    -34.30    -64.60    5.30    223132.0
 2011 08 05 01 19 00 000    2.78    -5.73     0.25  -414.80    -27.60    -62.30    5.12    178252.0
